git config --global --unset-allMon, 09 May 2022 12:26:47 GMT: successfully added agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmUaYio6SJxb9NsXcFJfLWhZnJftoZ36J7du68uvratYvc
Mon, 09 May 2022 14:49:01 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmRiUkM374vJTEdSnadzPkQadNsJL83Xk1iSntRbrJqA6T
Mon, 16 May 2022 20:40:02 GMT: successfully pushed image with reference bafybeidvf5zmktir6oschx3nmbj7bzsgfb4jilj4hw3hhfrepaxsubbi2e@sha256:28cb92fbee75976453a2df232da69c10b00a9a15c5225d90e0fa98c2f9176d24
Wed, 18 May 2022 20:57:08 GMT: successfully pushed image with reference bafybeif2cne564zhv4r6mrbyu6hsjmc6unbaldxexmrqxwb5ll2anxfuya@sha256:e92ba292a4c0d6fa7529cc20521c8784311333dfa90258d4e58044d2dfd14688
Tue, 24 May 2022 20:27:33 GMT: successfully pushed image with reference bafybeiglrznqlu2oy4lcp5uhoynrshlbrc2oesxqgzgfd6x3ss3qjvkg7q@sha256:63bfe272fc55504ccc05ef18bf39bc7a8ab6dae14c35ca7fdd9f4164083d391a
Mon, 06 Jun 2022 15:47:35 GMT: successfully added agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmfKcHovhq9EcZTmKYBXLzkKRCZm7u2i9m3czC19VApMAX
Mon, 06 Jun 2022 16:28:24 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmVBqJev7cegAWuuP3K4tvvwoSVfdVCSBu61WacHFJdcah
Fri, 10 Jun 2022 00:51:24 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmU32pzsUhSK8LDGpNF6pnyk1KMfbXxp9GvcC46LAc7LjR
Fri, 10 Jun 2022 16:21:36 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmdHiMqQbAJrvoAXngj2W1QgZ1kAvCvVPDdhqaetYzi3jr
Fri, 17 Jun 2022 21:14:46 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmSnTPE6SnsAB8Ds2igGAmeG9hfz5kVuepdnsrYctAdFzr
Fri, 01 Jul 2022 21:57:11 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmV5sWo1DCT282FDtbuiNTeNgHawNdZyLukE8NYwYF1nKU
Tue, 05 Jul 2022 14:46:17 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmTqV8YvcHM4GQ8PBHgtZXsXFxepokTkC5UgTZtAg7kdGm
Wed, 13 Jul 2022 22:30:39 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmNN4abt5wtZy3xQGBZHwbfJuyUxvfeYgdzDu3uRSkegT6
Thu, 14 Jul 2022 14:49:44 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmTcPyB9zux2PjD4EFRPPGaSxnB2FHRN5s42TAE7uZd5Kv
Thu, 14 Jul 2022 15:08:37 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmTuDtzd3U2ucAQqt9NF9Em1Ttrub1me32yUs3DSGMMffD
Thu, 14 Jul 2022 16:44:34 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmZqTRaM8hV3QwZG92kFE77HidMBc67rnabpj18tNsVNgr
Mon, 25 Jul 2022 15:48:59 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmZr7Enjco4LoPNkfaUbtwsBzSpoCGWevNc3zJ47nggeWf
Tue, 02 Aug 2022 05:28:09 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmcYL1YcWaB5gKXMxEJFn96MqJrnvXWHFZStG8qbz9eBTN
Mon, 08 Aug 2022 15:08:31 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmdU4G6pdxFyFUfXn7mDGUTkx6dCZf8Rr2yDPPnfs4EHsG
Wed, 07 Sep 2022 17:30:37 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest Qma3H1tSRgEGcmMAWcHXEXQZAM61kzosgv2Uf4AADEnmY6
Mon, 12 Sep 2022 18:28:37 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmfVcEJZVzyaxEiS8teHw59m9A4Vcy1xX6UTPB12KNdFKN
Mon, 19 Sep 2022 22:10:50 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmUF8mG3XW8GfRkhx4PVq3PPJaN9Yq5oauNMo88vbVESG2
Thu, 22 Sep 2022 00:13:43 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmatmT6PqGbxkCEDTNU6CuFEaWM2XHbJ9MZP39wKFgkrn2
Thu, 22 Sep 2022 00:16:44 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmWuKnNdusHpLbMMNvy98FMUWgqcvpABa83FDTsBrzWnyV
Thu, 22 Sep 2022 19:26:28 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmPsHdtycvvBde7ENSjNmwNYmaj4jy9PpCyQbiRRF7kn23
Thu, 22 Sep 2022 19:30:18 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmUzpc6uRhS42wRAgbXCShWDBgAoEVjTC1tmFt1Spy82at
Thu, 22 Sep 2022 19:45:47 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmQxvf1BPs8FA5kBGxcQnNST4RhpD5gqajxPTBqQwtjRqs
Thu, 22 Sep 2022 21:35:30 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmW7C8mjp94kJPzZamd5sHxb49xBYahKA1ZUUQXsrxe3Ma
Thu, 22 Sep 2022 22:06:08 GMT: successfully added agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmWoEXcapG3dgxrr8ZWGuTG9iMwaoGHyo3oJSTJfbiE6L4
Tue, 27 Sep 2022 23:56:40 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmYWYjCDKPKMNarKAitECukcnkAWXquMVp57eyvnCwaQWv
Thu, 29 Sep 2022 05:38:25 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmdnVPg3N7gsPGEsMzaZY5TF2VvEn4GhFYGTHGnzg18qdd
Thu, 29 Sep 2022 16:24:45 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmYRaAM3cfpmt4GadZSQL72Zeduke4NBka3KfvYy4Si8VN
Mon, 03 Oct 2022 21:55:56 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmQZKErg6uxmn98Sz6m39DJggs9iDd8DberN7dRGX6n2mp
Tue, 04 Oct 2022 22:46:24 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmQ6KSKpZYvcVwzBzRFqAV5bgjrTD5S85HHNmpyX6KiYqU
Fri, 21 Oct 2022 18:15:24 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmbYrUMJP5iqR7b5uraZNFjHAGm9wVwJB8mbdwGG6GaLcm
Fri, 21 Oct 2022 22:07:14 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmdSfSLDBK7Cm4EXK2r6omDrCg9W4qRiv9WNgiT5hXc7vv
Fri, 28 Oct 2022 19:07:15 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmSnDZVyEj118BBkbTmGTmCf1vJfauJCQjt4KNBSfXzRR8
Tue, 01 Nov 2022 17:25:50 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmUuPHBarT6LmWw7Av42uVbWibpudFTbr3YtjiZk9QoQoV
Wed, 02 Nov 2022 05:59:49 GMT: successfully updated agent id 0x80ed808b586aeebe9cdd4088ea4dea0a8e322909c0e4493c993e060e89c09ed1 with manifest QmNm9q13pKrUj9C6nkFLtqbfhF35DLHaCJkZmji5VB9mdY
Wed, 02 Nov 2022 17:43:14 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmYqKwn5DCCUWZ8BPYarZt7XJdUgisakXZPzECXJ53ceQQ
Mon, 07 Nov 2022 19:39:31 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmaHWAWsLS3Ve3JXbFdGSbHwXjpAxSCc8mR1jfi45czLVo
Tue, 08 Nov 2022 20:04:21 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmeHn4AEu2F82TynZLaCexWkbJrrSJwrG539k4k3BPGcKK
Wed, 09 Nov 2022 23:36:55 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmWAfxYHf5qLBzNV7KA1LkeWCAFJrUBuARqjMn7axWAi4s
Thu, 10 Nov 2022 20:06:55 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmeLVpEoWjRrMaHPz5qACLmc2WD9hJf6M8nDpQrLZmMNtA
Fri, 11 Nov 2022 00:40:34 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmPukQuJV9tM2FCWdBFmafc2qw5S7KSCkerKeFD38Xq5t4
Fri, 11 Nov 2022 00:45:24 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmWQqjogYhg9xSTgvBoy74pJaTQMrLWtzrAurajuFtfjdN
Wed, 16 Nov 2022 22:15:32 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmQu1oCio56QmE7enz9hvCHf6Hwi1dHzYWSXHMvj5cHJg5
Fri, 18 Nov 2022 18:07:39 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmZaGC3wvsz9C4MgPmrMT2yrbdsnJWsVcwZzWD8xCuRFME
Fri, 18 Nov 2022 22:06:54 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest Qmeg8uUky3cFqTy4WGi14JTQ7WsRUDgRY1eVRBuFF2VoFz
Wed, 30 Nov 2022 20:48:26 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmV3cyM4zSLLovBTRVoxUvXvnYHTuk6cYxHu153PVdKGvr
Fri, 02 Dec 2022 23:42:17 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmU9n1kafwiAtGzYkxgVSZr5wKWgqz8Ns7qkPDukrtEhvY
Fri, 02 Dec 2022 23:45:01 GMT: successfully updated agent id 0x79af4d8e0ea9bd28ed971f0c54bcfe2e1ba0e6de39c4f3d35726b15843990a51 with manifest QmajW7M9RLrk2Wss1YfKpNm4G9hgsk8v3Nwi36odr2FhAs
Fri, 02 Dec 2022 23:05:01 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmUavju3A3nYmBeFD3sccMmPcAJ1t1XBdi6UjkokHr8Uyp
Fri, 02 Dec 2022 23:13:14 GMT: successfully updated agent id 0x1d646c4045189991fdfd24a66b192a294158b839a6ec121d740474bdacb3ab23 with manifest QmUn5HTwbgRRuAgq5iCFKAEVkAHWDjsJttvD2RzG7VJaY1
